0,1,2,3
Starbucks Coffee,Short Signature Hot Chocolate with Masala Potato Puff,₹438.10,"""Meal for One! SAVE Rs. 92! Enjoy Four cocoas and fresh steamed milk ... read more"
Starbucks Coffee,Tall Caffe Latte with Smoked Chicken Turnover,₹634.76,"""Meal for One! SAVE Rs. 127! Enjoy Our dark, rich espresso balanced with ... read more"
Starbucks Coffee,Tall Cappuccino with Egg White & Chicken in Multigrain Croissaint,₹682.38,"""Meal for One! SAVE Rs. 137! Enjoy Dark, rich espresso lies in wait ... read more"
Starbucks Coffee,Tall Java Chip Frapuccino with Chilli Cheese Toast,₹685.71,"""Meal for One! SAVE Rs. 144! Enjoy We blend mocha sauce and Frappuccino ... read more"
Starbucks Coffee,Tall Cappuccino with Herbed Chicken Focaccia Sandwich,₹602,"""Meal for One! SAVE Rs. 143! Enjoy Dark, rich espresso lies in wait ... read more"
Starbucks Coffee,Tall Cold Coffee with Tandoori Chicken Panini Sandwich,₹604,"""Meal for One! SAVE Rs. 151! Enjoy Classic Cold coffee drink for summers ... read more"
Starbucks Coffee,Tall Chocolate Milkshake with Pesto & Mozzarella Sandwich in Panini,₹628,"""Meal for One! SAVE Rs. 157! Enjoy Classic Chocolate Milkshake for summers served ... read more"
Starbucks Coffee,Tandoori Chicken Panini Sandwich,₹395,"Freshly Assembled Sandwich
Masala chicken tikka with tomato salsa & cheddar cheese sandwiched in a panini bread.
Serving size (g/ml) - 290g/901kcal
Allergen - Contains ... read more"
Starbucks Coffee,Herbed Chicken Focaccia Sandwich,₹395,"Freshly Assembled Sandwich
A western styled chicken salad sandwiched in a focaccia bread.
Serving size ... read more"
Starbucks Coffee,Spiced Paneer Sandwich in Focaccia,₹380,"Freshly Assembled Sandwich
An Indian masala paneer with tomato salsa & cheddar cheese sandwiched ... read more"
Starbucks Coffee,Pesto & Mozzarella Sandwich in Panini,₹395,"Freshly Assembled Sandwich
A panini bread loaded with spinach, cheddar and Emmenthal.
Serving size (g/ml) ... read more"
Starbucks Coffee,Murgh Kathi Wrap,₹345,"Spicy melange of chicken, onion, peppers and cheddar cheese packed in a tortilla ... read more"
Starbucks Coffee,Chatpata Paratha Wrap,₹340,Tangy paneer and vegetable filling wrapped in spinach paratha. Served with a makhani ... read more
Starbucks Coffee,Bhuna Chicken Puff,₹185,A spiced & flavourful bhuna chicken filling encased in a puff pastry with ... read more
Starbucks Coffee,Chicken Puffin,₹250,"""A chilli chicken filling in a golden flaky puff.
Serving size (g/ml) - 80g/390kcal
Allergen ... read more"
Starbucks Coffee,Smoked Chicken Turnover,₹310,"A flaky croissant stuffed with flavourful masala smoked chicken 
Serving size (g/ml) - ... read more"
Starbucks Coffee,Masala Potato Puff,₹160,A savoury snack made with masala potato filling in a puff pastry. The ... read more
Starbucks Coffee,Coffee Frappuccino,₹345,Coffee meets milk and ice in a blender and together they create one ... read more
Starbucks Coffee,Java Chip Frappuccino,₹390,We blend mocha sauce and Frappuccino chips with Frappuccino roast coffee and milk ... read more
Starbucks Coffee,Vanilla Cream Frappuccino,₹385,"This rich and creamy blend of vanilla, milk and ice topped with whipped ... read more"
Starbucks Coffee,Espresso Frappuccino,₹385,"Coffee is combined with a shot of espresso and milk, then blended with ... read more"
Starbucks Coffee,Caramel Frappuccino,₹370,"A blend of coffee, sweet caramel syrup, milk and ice topped with whipped ... read more"
Starbucks Coffee,Strawberries & Crème Frappuccino,₹385,Strawberries and milk are blended with ice and topped with a swirl of ... read more
Starbucks Coffee,Mocha Frappuccino,₹405,Coffee with rich mocha sauce blended with milk and ice. Topped with sweetened ... read more
Starbucks Coffee,White Mocha Frappuccino,₹395,"White chocolate Frappuccino is a blend of coffee, white chocolate sauce, milk and ... read more"
Starbucks Coffee,Caramel Java Chip Frappuccino,₹440,"Coffee with rich mocha flavoured sauce blended with milk chocolaty chips, caramel syrup ... read more"
Starbucks Coffee,Double Chocolate Chip Frappuccino,₹400,"Rich mocha-flavoured sauce meets up with chocolaty chips, milk and ice. Top it ... read more"
Starbucks Coffee,Cold coffee,₹360,Our signature rich in flavour espresso blended with delicate vanilla flavour and milk ... read more
Starbucks Coffee,Chocolate Milkshake,₹390,Our Starbucks signature chocolate perfected for you as a smooth and delightful milkshake. ... read more
Starbucks Coffee,Strawberry Milkshake,₹390,A Delicious milkshake for those with a sweet tooth and love our favourite ... read more
Starbucks Coffee,Vanilla Milkshake,₹390,Your favourite Vanilla milkshake is now at Starbucks. A perfect delight for any ... read more
Starbucks Coffee,Cold Brew Black,₹350,Starbucks Kenya coffee is freshly ground and then steeped for 48 hours. This ... read more
Starbucks Coffee,Vanilla Sweet Cream Cold Brew,₹400,Cold brew with Vanilla Sweet Cream is made with Starbucks cold brew over ... read more
Starbucks Coffee,White mocha caramel Cold Brew,₹420,Our slow steeped Cold brew shaken with milk and white chocolate to strike ... read more
Starbucks Coffee,Cold Brew Malt,₹480,Our Cold Brew blended with vanilla ice cream and malt. A classic ice ... read more
Starbucks Coffee,Iced Caffè Americano,₹305,"Espresso shots are topped with water to produce a light layer of crema, ... read more"
Starbucks Coffee,Iced Caffè Latte,₹325,"Our dark, rich espresso balanced with milk. Our Iced Latte turns your favourite ... read more"
Starbucks Coffee,Iced Shaken Hibiscus & Passion Lemonade,₹340,"Our blend of hibiscus, lemongrass and apple is slightly sweetened and hand shaken ... read more"
Starbucks Coffee,Iced Caramel Macchiato,₹395,"Sweet. Creamy. And chilled to perfection. Rich espresso, milk and vanilla syrup are ... read more"
Starbucks Coffee,Cappuccino,₹185,"""Introducing the new small size from Starbucks - Picco Cappuccino
Dark, rich espresso lies ... read more"
Starbucks Coffee,Latte,₹190,"Our dark, rich espresso balanced with steamed milk and a light layer of ... read more"
Starbucks Coffee,Caffe Americano,₹275,"Rich in flavour, full-bodied espresso with hot water in true European style. Short: ... read more"
Starbucks Coffee,Flat White,₹365,"""Expertly steamed milk poured over Ristretto shots of espresso and finished with a ... read more"
Starbucks Coffee,Hazelnut Caffe Latte,₹350,"""Our dark, rich espresso balanced with Hazelnut flavored syrup, steamed milk and a ... read more"
Starbucks Coffee,Vanilla Caffe Latte,₹350,"""Our dark, rich espresso balanced with vanilla flavored syrup, steamed milk and a ... read more"
Starbucks Coffee,White Chocolate Mocha,₹335,"""Our signature espresso meets white chocolate sauce and steamed milk in this white ... read more"
Starbucks Coffee,Caffè Mocha,₹335,"""We combine our Rich in flavour, full-bodied espresso with bittersweet mocha sauce and ... read more"
Starbucks Coffee,Caramel Macchiato,₹365,"""Freshly steamed milk with vanilla-flavored syrup is marked with espresso and topped with ... read more"
Starbucks Coffee,Filter Coffee,₹215,"""Introducing the new small size from Starbucks - Picco Filter Coffee
Your favourite South ... read more"
Starbucks Coffee,Elaichi Chai,₹215,"""Introducing the new small size from Starbucks - Picco Cardamom Chai
Our traditional chai ... read more"
Starbucks Coffee,Chai Tea Latte,₹300,"""Black tea infused with cinnamon, clove, and other warming spices are combined with ... read more"
Starbucks Coffee,Signature Hot Chocolate,₹195,"""Introducing the new small size from Starbucks - Picco Signature Hot Chocolate
Four cocoas ... read more"
Starbucks Coffee,Butter Croissant,₹275,"A flaky and buttery French style pastry served with butter.
Serving size (g/ml) - ... read more"
Starbucks Coffee,Malabari Egg Croissant,₹255,A South Indian Malabari inspired spiced egg filling with hints of coconut encased ... read more
Starbucks Coffee,Butter Croissant Add on Preserve,₹320,"A flaky and buttery French style pastry served with Jam.
Serving size (g/ml) - ... read more"
Starbucks Coffee,Egg White & Chicken in Multigrain Croiss,₹365,"Fluffy egg white omelette and chicken ham sandwiched in multigrain croissant.
Serving size (g/ml) ... read more"
Starbucks Coffee,Mango On The Beach Frappuccino,₹490,Alphonso mango flavoured cream blended with mango jelly. The beverage is topped with ... read more
Starbucks Coffee,Belgium Chocolate Latte,₹425,"Espresso with richly flavored Belgium chocolate sauce, mocha sauce and steamed milk. Topped ... read more"
Starbucks Coffee,Iced Belgium Chocolate Latte,₹455,"Espresso with richly flavored Belgium chocolate sauce, mocha sauce and steamed milk served ... read more"
Starbucks Coffee,Belgium Chocolate Frappuccino,₹490,Blend of richly flavored Belgium chocolate sauce and coffee with chocolate cream on ... read more
Starbucks Coffee,Belgium Chocolate Cream Frappuccino,₹490,Blend of richly flavored Belgium chocolate sauce with chocolate cream on the top. ... read more
Starbucks Coffee,Salted Dark Caramel Latte,₹425,"A delicious mix of our bold espresso shot, perfectly steamed milk and dark ... read more"
Starbucks Coffee,Iced Salted Dark Caramel Latte,₹455,"A delicious mix of our bold espresso shot, perfectly steamed milk and dark ... read more"
Starbucks Coffee,Salted Dark Caramel Frappuccino,₹490,"A delicious blend of coffee, milk, and dark caramel sauce, topped with whipped ... read more"
Starbucks Coffee,Iced Cold brew with Ginger Ale,₹455,A delicious double layered cold brew beverage with ginger ale. A pure delight ... read more
Starbucks Coffee,Iced Cold brew with Tonic Water,₹455,A delicious double layered cold brew beverage with tonic water. A pure delight ... read more
Starbucks Coffee,Mango Milkshake,₹345,"Alphonso Mango flavored milkshake. A cool, smooth, and creamy textured delight to beat ... read more"
Starbucks Coffee,Salted Dark Caramel Cream Frappuccino,₹490,"A delicious blend of milk and dark caramel sauce, topped with whipped cream ... read more"
Starbucks Coffee,Mushroom Onion Profiterole,₹190,"""A French style profiterole filled with mushroom & cream cheese mixture garnished with ... read more"
Starbucks Coffee,Creamy Spinach & Corn Pocket,₹235,"""A creamy spinach and corn filling encased in a buttery French style dough.
Serving ... read more"
Starbucks Coffee,Three Dip Chips,₹250,"Crispy Tortilla Chips loaded with peri peri cheesy dip, spicy tomato salsa & ... read more"
Starbucks Coffee,Three Cheese Pull Apart,₹260,A soft and buttery pull-apart bun loaded with cheese and herbs. The perfect ... read more
Starbucks Coffee,Chilli Paneer in Herbed Bun,₹270,"A tangy chilli paneer filling topped with sliced cheese in a herbed bun.
Serving ... read more"
Starbucks Coffee,Chilli Cheese Toast,₹330,"""Cheesy and fiery snack on a toasted French-style baguette, topped with red, yellow ... read more"
Starbucks Coffee,Almond Butterscotch Cookie,₹290,"A buttery cookie with a combination of crunchy almond and butterscotch.
Serving size (g/ml) ... read more"
Starbucks Coffee,Double Chocolate Chip Cookie,₹280,A soft & chewy chocolate cookie topped with chocolate chips for the perfect ... read more
Starbucks Coffee,Hazelnut Triangle,₹195,"A Pastry with layers of hazelnut meringue and buttercream.
Serving size (g/ml) - 50g/302kcal.
Allergen ... read more"
Starbucks Coffee,Chocolate Truffle Pastry,₹360,An absolute classic! A moist chocolate cake layered with whipped ganache and dark ... read more
Starbucks Coffee,Red Velvet & Orange Cake,₹380,Red velvety sponge cake with cream cheese and white chocolate. Hint of orange ... read more
Starbucks Coffee,New York Cheesecake,₹385,"The Classic New York Cheese cake with a rich, creamy satiny texture and ... read more"
Starbucks Coffee,Chocolate Brownie Cupcake,₹275,"""A gooey and fudgy walnut brownie loaded with chocolate. 2pcs per portion
Serving size ... read more"
Starbucks Coffee,Lemon Loaf Cake,₹310,"English tea cake with rich taste of butter and citrusy lemon notes.
Serving size ... read more"
Starbucks Coffee,Blueberry Muffin,₹305,"""Buttery vanilla cake with blueberries dusted with granulated sugar for a delightfully crunchy ... read more"
Starbucks Coffee,Banana Chocolate Loaf Cake,₹315,"""English tea cake with rich taste of banana and chocolate.
Serving size (g/ml) - ... read more"
Starbucks Coffee,Chocolate Éclair,₹310,A classic French style choux éclair stuffed with chocolate ganache. 2 pieces per ... read more
Starbucks Coffee,Pistachio Éclair,₹310,A classic French style choux éclair filled with pistachio ganache and topped with ... read more
Starbucks Coffee,Vanilla with strawberry Sauce,₹145,"A delicious scoop of Vanilla ice cream served with strawberry sauce on top.
Serving ... read more"
Starbucks Coffee,Java Chip with chocolate sauce and Chips,₹145,A delicious scoop of Java Chip ice cream served with Chocolatey sauce drizzle ... read more
Starbucks Coffee,Caramel Macchiato with salted caramel Drizzle,₹145,A delicious scoop of Caramel Macchiato ice cream served with caramel drizzle on ... read more
Starbucks Coffee,Bottled Caramel Frappuccino,₹376.19,"Bottled Caramel Frappuccino
Product Size - 200 ML
Energy  -   65.7 kcal ... read more"
Starbucks Coffee,Bottled Mocha Frappuccino,₹376.19,"Bottled Mocha Frappuccino
Product Size - 200 ML
Energy  - 64.6 kcal / 100 ... read more"
Starbucks Coffee,Bottled Coffee Frappuccino,₹376.19,"Bottled Coffee Frappuccino
Product Size - 200 ML
Energy  -  63.9 kcal / ... read more"
Starbucks Coffee,Rauch Pineapple Juice,₹238.10,"""A Frefreshing pinapple fruit juice from concentrate with no added sugar.
Product Size - ... read more"
Starbucks Coffee,Rauch Organic Apple Juice,₹238.10,"""Directly pressed apple fruit juice not from concentrate and no added sugar.
Product Size ... read more"
Starbucks Coffee,Rauch Blueberry Juice,₹266.67,"""A refreshing juice with the goodness of blueberries, best enjoyed on ice.
Product Size ... read more"
Starbucks Coffee,Rauch Vitamindrink ACE Juice,₹247.62,"I Fruity juice with the goodness of orange, carrots and lemon. Contains Vitamins ... read more"
Starbucks Coffee,Almond Biscotti 50 Gms,₹152.38,"Almond Biscotti
Product Size - 50 g
Energy  - 409 kcal / 100 g
Allergen ... read more"
Starbucks Coffee,Roasted & Salted Cashews,₹171.43,"Roasted & Salted Cashews
Product Size - 50 g
Energy  - 606.3 kcal /100 ... read more"
Starbucks Coffee,Roasted & Salted Almonds,₹171.43,"Roasted & Salted Almonds
Product Size - 50 g
Energy  - 630.2 kcal /100 ... read more"
